Title,URL,Address,Compensation,Employment Type,Description
Local Law 11 Inspector / Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-local-law-11-inspector-engineer/6980811212.html,Flatiron,based on experience,full-time,"
        
Established mid-size structural engineering design firm in the Flatiron District of Manhattan, New York City with a wide variety of projects focused on new constructions and renovations for both small- and large-scale residential and commercial buildings in the tri-state area.
The Intermediate Level Local Law 11 Inspector position is for someone in the Structural/Civil Engineering or Architectural field with at least 3 years of experience and knowledge, who possesses a well-organized and detail-oriented solid background in conducting site visits to do inspections for Local Law 11. The candidate should be able to organize and put together complete sets of construction documents as well as coordinating with architectural and other consultants, clients and contractors. Additionally, the candidate should be able to produce reports containing photographs and text.
This position is a great opportunity for experience and growth!
Please submit resume/cover letter, work samples and salary requirements by email.
Job Type:
•	Full-time
Job Location:
•	New York, NY
Required Education:
•	Bachelor’s (minimum)
Work Authorization:
•	United States (required)
Required Language:
•	Fluent in English
Required Knowledge of Software:
•	Microsoft Office Word and Excel
•	Drafting/AutoCAD
•	ETABS, SAFE, RAMS Structure, ASDIP Suites, ENERCAL
•	Knowledge of Revit a plus, but not required
Preferred Traits:
•	Ability to take direction, work independently, and handle changing and evolving directives.
•	Able to prioritize & concurrently service multiple projects & meet deadlines.
•	Be a team player and have the ability to complete tasks accurately and efficiently.
•	Effective problem solving & interpersonal skills & the ability to interface with all clients & employees.
•	Interacts well with other disciplines & clients in a manner that builds productive relationships.
•	Strong ability to detail and manage the production of multiple complex projects at the same time.
•	Detail-oriented to ensure that plans and sections coordinate, eliminating inaccuracies during production.
    "
"Architect, Intermediate",https://newyork.craigslist.org/mnh/egr/d/architect-intermediate/6975531688.html,,Commensurate with experience,full-time,"
        
Tribeca office seeks intermediate Architect for work including new commercial and residential construction.  This is a great opportunity for professional growth with exposure to all aspects of architectural practice.  Candidate must be knowledgeable, with good communication skills, and must be willing and able to take on responsibility.  Vectorworks a plus.

Send resume, portfolio less than 3MB, availability, salary requirements    "
REVIT / BIM Operator,https://newyork.craigslist.org/mnh/egr/d/revit-bim-operator/6975536506.html,New York,Competitive...based on previous experience.,contract,"
        
Leading national provider of building measurement services is seeking a qualified BIM Operator / Draftsperson with high level of work experience in Revit. 

Candidates for this position require previous experience accurately capturing and drafting ""as-built"" environments and conditions in REVIT. Position requires the ability to collaborate with our team, measure and produce Revit model for both commercial and residential projects nationwide. Ability to use 3D laser scanner a plus - but not a requirement.  

Kindly email resume along with three (3) examples of previous Revit work in PDF format. 

    "
Construction Mechanical Inspector,https://newyork.craigslist.org/brx/egr/d/bronx-construction-mechanical-inspector/6975632362.html,All 5 boroughs of NYC,Based on experience,full-time,"
        
We are seeking a graduated mechanical engineer to conduct building inspections pertaining to TR1 forms for the Dept. of Buildings for new buildings and alteration jobs.

The ideal candidate:

- Must have a mechanical engineering degree.

- Must be knowledgeable of the building code

- Must be reliable and willing to travel to all the 5 boroughs of NYC

- Must have or be willing to obtain ICC mechanical certification

- Must be able to read and understand construction plans

Pay: TBD with experience

    "
Civil Engineer/Student Wanted - Entry Level Position,https://newyork.craigslist.org/que/egr/d/civil-engineer-student-wanted-entry/6975097406.html,Astoria,To be discussed,full-time,"
        
Looking for a worker at a construction company based in Astoria:
Job opening for a Civil engineer, at entry level position. 
We will provide comprehensive on the job training.

Requirements are as follows: 
Team work, 
Must be able to elaborate bids and estimates, 
Must be able to generate and read blue prints, 
Must be able to work under pressure and meet all deadlines.
AUTOCAD great plus.

Please email resume.
    "
Facade / Building Envelope Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6980913889.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled architect with 2 to 5 years of building envelope restoration experience to join us in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Structural Engineers Needed!,https://newyork.craigslist.org/mnh/egr/d/new-york-structural-engineers-needed/6975508123.html,Chelsea,"Competitive salary, comprehensive benefits, 401K, structured bonus program",full-time,"
        
Murray Engineering is rapidly growing, and we are seeking highly motivated Structural Engineers to join our team! Our diverse portfolio consists of new construction as well as renovations/alterations to existing buildings. We have a large client base that provides us with a wide array of projects that include commercial, cultural,institutional, retail, and single/multi-family residential properties as well as special structures.

We are dedicated to using an innovative design and team-oriented approach that contributes to the success of our clients, the growth of our employees and a positive impact in our community.

Our firm offers a competitive salary, comprehensive benefits, 401K, structured bonus program, and opportunities for advancement. Our employees are encouraged to participate in professional development groups and activities.

Positions available require the following:
*Excellent written and verbal communication skills.
*Bachelor’s degree in civil engineering with a structural concentration.
*Master’s degree in Civil or Structural Engineering preferred, but not required.
*FE/EIT certification, preferred.
*1-5 years of experience.
*Strong attention to detail with excellent analytical and judgment capabilities required.
*Well-organized.
*Ability to effectively work independently and in a team environment required.
*Strong computer skills.
*Passion for problem solving and responsibility.

    "
Design/Fabrication Shop looking for CAD/CAM Specialist,https://newyork.craigslist.org/brk/egr/d/design-fabrication-shop-looking-for-cad/6974861440.html,Williamsburg,"commensurate with experience, on W2, paid vacation, sick time, holidays",full-time,"
        
We are a small shop in Williamsburg specializing in fine art fabrication, product development, engineering, prototyping, and making almost anything. 

Duties:

-Build 3D models in Solidworks/Rhino/Fusion360
-Create sheet layouts from Illustrator/dxf files
-Generate CAM files from models/drawings
-Load and run CNC mill and router
-Create shop drawings & technical control drawings
-Basic assembly and finishing


Requirements:

-Must have minimum 1 year experience using CNC machines (machine setup, file generation, operation). VisualMill / Fusion360 preferred.
-Minimum 1 year experience using 3D modeling software. Solidworks / Fusion360 preferred.
-Experience using various power tools (drills, saws, sanders, etc)


Please send resume and portfolio for consideration.

Instagram: @rushdesignnyc

Web: www.rushdesign.net    "
Earn up to $18/hr! Deliver with Grubhub - Apply now!,https://newyork.craigslist.org/que/egr/d/woodside-earn-up-to-18-hr-deliver-with/6975862859.html,Astoria-Long Island City,Per order fee + mileage + 100% tips,contract,"
        

        
    "
Intermediate/Senior Interior Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-senior-interior/6974740601.html,Financial District,Competitive based on years of experience and design skill,full-time,"
        
Downtown design studio, teeming with new work seeks an Intermediate and Senior Designer to work alongside Creative Director on new local residential developments. Firm has deep-rooted connections within leading NYC development community, and working on ambitious projects of varying scale. This is an opportunity for motivated designers to be hands-on in creating narratives/concepts, and build schemes through project install. 

The role requires strong concept and design development experience. Must be able to work with clients, build storylines, and develop comprehensive schemes, with great attention to FF&E. Must be able to produce some furniture and DD plans in AutoCAD, but position is more creatively focused. 

Taste level and knowledge of FF&E are critical. Demonstrated success presenting to clients is a plus. Ability to coordinate and manage vendors, fabricators, consultants in meetings and on-site are required. 3-7+ years of professional experience. 

Submit resume and portfolio samples for immediate response.    "
Facade / Building Envelope Structural Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6980912776.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled structural engineer with 5 to 6 years of building envelope restoration experience if licensed, and 7 to 10 years' experience if not licensed, to join us in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Architect/ Interior Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-interior/6974920380.html,Chelsea,Base on experience,full-time,"
        
RADU ARCHITECTS is seeking full-time Architect/ Interior Designer with 5- 7 years' experience in all aspects of design and production. Candidate must be able to manage more than one project at one time varying in size.
Candidate should have experience in dealing with clients.
Candidate should have good design sense and be knowledgeable in construction documents. The Architect will be responsible for all or some of the project phases such as; Schematic Design, Design Development, Construction Documents, Custom Millwork Detail and Shop Drawings Review.
Prerequisites:
1.	5-7 years' experience working for a NYC Architectural Firm/ Interior Design firm.
2.	Proficient in producing CD's 
3.	Project Management/Consultants coordination.
4.	Client relations experience
5.	Good design sense.
6.	Technical knowledge of NYC building codes and NYC zoning.
7.	NY Professional License a plus.
Candidate Qualifications:
1.	Excellent oral and written communication skills.
2.	Proficient in creating coordinated construction document sets.
3.	Resolves technical and code issues.
4.	Organize, schedule and administer project constructability schedule.
5.	Produce Schematic Design Proposals.

    "
Architectural Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-designer/6976291274.html,SoHo,Commensurate w/ experience,full-time,"
        
BWArchitects is a multi-disciplinary firm that specializes is high end residential, hospitality and special events. Our projects are based in NYC, California and Europe. We have exciting new opportunities and are looking for a key member to join our team.

Qualifications: 

Professional degree in Architecture (required)
3 - 5 years of post graduate experience in NYC
STRONG design, technical and graphic skills
EXCELLENT organizational and communication skills
Model making experience a PLUS

Our work tools are Mac based Vectorworks, Sketchup, Rhino, Maxwell Render and the Adobe Creative Suite. Knowledge of the Mac OS and programs is not required but a is a big plus.

We are searching for a candidate who will be the right fit for our company culture.

We are a design and detail oriented firm with a rigorous approach to our work. Our clients are important and so are our families. 

More info about us at www.bw-architects.com

If interested, please email us your resume and samples of relevant experience, graphic and technical and the dates when you are available to start work.

The position comes with an immediate start date but we will wait for the right candidate. Salary is dependent on experience. Range 65k-80k
    "
Architectural Model Shop Manager,https://newyork.craigslist.org/mnh/egr/d/architectural-model-shop-manager/6976297796.html,SoHo,"$6,000 / month",contract,"
        
We are searching for a skilled architectural model maker to manage our model shop and oversee several projects. We employ the use of a laser cutter and 3d printer.

Expected employment duration: Through November 2019 with the possibility for other work beyond.

BWArchitects is a multi-disciplinary firm that specializes is high end residential, hospitality and special events. Our projects are based in NYC, California and Europe. We are a design and detail oriented firm with a rigorous approach to our work. Our clients are important and so are our families.

Check out the WORKSHOP section on our website: www.bw-architects.com

If interested, please email us your resume and samples of relevant experience, technical knowledge and the dates when you are available to start work.    "
Earn up to $18/hr! Deliver with Grubhub - Apply now!,https://newyork.craigslist.org/que/egr/d/woodside-earn-up-to-18-hr-deliver-with/6976391620.html,Astoria-Long Island City,Per order fee + mileage + 100% tips,contract,"
        

        
    "
ARCHITECT/DRAFTSPERSON - INTERMEDIATE,https://newyork.craigslist.org/que/egr/d/great-neck-architect-draftsperson/6961433183.html,GREAT NECK,Negotiable-based on experience,full-time,"
        
Queens / Great Neck Architectural firm seeking Intermediate Architect with 2-5 years’ experience in new construction for high end custom one family residences, builders’ cluster residential developments, apartment buildings and commercial projects located in New York City (primarily Queens) and Nassau County.

Individual MUST have a Bachelor's degree (or higher) in ARCHITECTURE.

MUST HAVE EXPERIENCE IN ONE FAMILY FRAME HOUSES.

Individual must possess excellent communication skills, be motivated, have a good sense of design and be able to produce design and construction drawings using AutoCAD. Individual must be able to work in the USA.

Knowledge of New York City Zoning and Building Code and Expediting a plus.

Great opportunity to become a Registered Architect.
Friendly, upbeat work environment. Send cover letter with resume and SALARY REQUIREMENTS.    "
Architectural Fall Internship – Student or Recent Graduate,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-fall-internship/6976396605.html,Downtown,"One time -Stipend: - $1,400 Full Time / $1,100.00 Part Time",employee's choice,"
        
Kushner Studios is an award-winning architecture & interior design firm. Our current projects include high-end residential & commercial projects, with a fast-growing reputation as the ""Go to"" firm for breweries and restaurant design. (www.kushnerstudios.com) ()
The internship program at Kushner Studios aims to provide aspiring architects/interior designers/artists/ with little, or no professional background and still attending a relevant university program, or recent graduates the opportunity to gain real-world experience in a multifaceted architectural firm.

Description and Responsibilities 
Working in a creative, fast past paced and professional setting, the internship training provides the chance to apply the knowledge gained in an educational environment to the many diverse tasks typically found in a design-build business. Interns will be considered part of the learning team, responsible for supporting project managers, they will be asked to perform a variety of tasks under the direct observation and/or supervision of a Kushner Studios employee, some with specific deadlines that are crucial to the project.

Our office is unique in several aspects: the most obvious is our facility and organization, both broadminded and broadly presented approach to project management & construction; With design projects that span Residential, Commercial, Hospitality and Institutional, we hope this internship finds much applicability in your future careers.

Requirements 
Candidates currently enrolled in or recently graduated from an accredited architectural program must be enthusiastic and motivated with a working knowledge of Word and Excel, rendering skills in Vector works or AutoCAD a plus.

Remuneration: One time -Stipend: - $1,400 Full Time / $1,100.00 Part Time
Hours per Week: - Minimum 18 hrs (Part Time) - 28hrs (Full Time) 
Employment Start Date: - September 16th, 2019 or as soon as possible.
Employment End Date: 12 weeks - 15 weeks 
Enrolled in or recently graduated from an accredited architectural program.

Application Instructions:
Email Resume, Portfolio, and cover letter.  Files larger than 5MB will not be considered.    "
Mechanical Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-mechanical-engineer/6961501244.html,Midtown West,Experienced highly compensated,full-time,"
        
EME Consulting Engineering Group, LLC, (EME) is a professional engineering firm, headquartered in New York City, with a satellite office in Albany, NY.  EME clients include healthcare, educational, governmental, and hospitality. EME’s core business is engineering and architectural design involving with the upgrade and enhancement of energy systems.  

EME is currently seeking degreed Mechanical Engineers for project management and engineering design.  The ideal candidate will have a degree in Mechanical Engineering and at least 3 years of mechanical system design experience in healthcare and or educational facilities.  The candidate should also have working knowledge with the following:

•	Experience with NYC Building Codes and International Building Codes 
•	HVAC design from conceptual through construction
•	Experience in water and air side systems 
•	Heating and cooling load calculations
•	Equipment selection 
•	Building automaton control diagrams and sequence of operations
•	Written specifications
•	AutoCAD, Carrier HAP/Trane Trace and MS Office applications
•	Knowledge of sustainable design practices
•	Strong communication skills for client interface
•	Leadership ability to guide support staff

This position offers a competitive compensation and with bonus potential.   Benefits include multiple health insurance plans to choose from, a 401k profit sharing plan, and professional workplace environment.

These positions are permanent and offer opportunity for advancement. You will be working directly alongside a distinguished team of licensed professionals in a team-oriented environment.  

EME is an equal opportunity employer.

Please forward cover letter with resume and salary requirements.

    "
Field Service Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-field-service-engineer/6962143315.html,Midtown,TBD,full-time,"
        
Job Description

One of the 3D Printing leading companies in the United States is currently seeking a responsible, professional and experienced 3D Printing Field Service Technician.

The 3D Printing Field Service Technician ensures optimum operational performance for hardware related to 3D Printers installed at the customers' site. They deliver technical service to customers including installation, relocation, repair, and preventative maintenance. This person will provide technical and operational support of 3D printing equipment and systems located within the following types of environments: business/corporate, educational and military specifications.

Responsibilities:
•	Ensure optimum operational performance for systems installed at the customer's site
•	Optimize system performance to minimize equipment downtime and ensure maximum overall customer 
        satisfaction
•	Be dispatched and directed by their supervisor with a primary function of repairing customer's equipment
•	Frequent travel to perform onsite equipment installs, maintenance, and upgrades
•	Familiarize customer with product usage and care
•	Availability for occasional off-hours calls and work
•	Read and interpret documents such as safety rules, operating and maintenance instructions, wiring 
        diagrams, flowcharts, and procedure manuals
•	Write routine reports and correspondence

Education & Training Requirements:
•	AA degree, a two-year diploma from a technical school or military ratings such as Naval ET, FC or FT 
        required
•	3-5 years of related electrical, mechanical &/or technical experience.
•	BS in engineering field preferred but not required
•	Solid knowledge of remote support tools, TCP/IP protocol, and computer science
•	Solid skills in Microsoft Office and strong troubleshooting skills with mechanical/electrical systems.

Requirements:
•	Must have a hands-on approach
•	Ability to read an electrical schematic and mechanical drawings
•	Strong customer service experience required
•	Skills in organization, problem-solving, and customer relations
•	Basic interpersonal and communication skills in the business environment and a commitment to 
        professionally represent the company with its customers
•	Ability to speak effectively before customers and act in an advisory capacity
•	Working effectively and efficiently under tight deadlines
•	Ability to work at customer locations independently with minimal support
•	Must have a driver's license

Benefits:
Excellent employee environment with a competitive benefits package including:
•	Salary commensurate with experience
•	Great Benefits package including Health Insurance + 401k
•	Stable company with growing revenue
•	Work with cutting edge technologies in many spaces

EEO/AA/V/D/M/F/SO
Job Type: Full-time
    "
